query_number,query_type,query,query_nikud,age_group,comments,image_count,answer,תשובה מתקבלת להורים,תשובה ירוקה,תשובה צהובה,תשובה אדומה,רמז
1,הבנה,איפה האף של הילד?,אֵיפֹה הָאַף שֶׁל הַיֶּלֶד?,2:00-2:06,,1,A,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,"איפה האף שלי? הנה האף שלי , תצביע עכשיו על האף של הילד. "
2,הבנה,איפה הכדור,אֵיפֹה הַכַּדּוּר,2:00-2:06,,3,1,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,ניתן להצביע על כדור בבית או לחזור על השאלה . 
3,הבנה,תראה לי ילד שישן,תַּרְאֶה לִי יֶלֶד שֶׁיָּשֵׁן,2:00-2:06,,2,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,ניתן להוסיף מחווה של שינה\עצימת עינים
4,הבנה,איפה הדובי הגדול,אֵיפֹה הַדֻּבִּי הַגָּדוֹל,2:00-2:06,,2,1,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,"להדגיש את המילה גדול\להדגים במחווה של ""גדול"" עם הידיים"
5,הבנה,איפה הדובי על הקופסא,אֵיפֹה הַדֻּבִּי עַל הַקֻּפְסָא,2:00-2:06,,3,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,ניתן להראות לו משהו בסביבה שנמצא מעל משהו
6,הבנה,איפה כל החיות,אֵיפֹה כָּל הַחַיּוֹת,2:00-2:06,,10,"1,2,3,4,10",הצבעה נכונה של לפחות 4 מתוך 5 תמונות,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,ניתן לתת רמזים ספציפים על כל חיה _איפה היא גרה או קול שהיא משמיעה)
14,הבנה,איפה האוזן של הילד?,אֵיפֹה הָאֹזֶן שֶׁל הַיֶּלֶד?,2:07-3:00,,1,A,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,"איפה האוזן שלי? הנה האף שלי , תצביע עכשיו על האוזן של הילד. "
15,הבנה,איפה הדובי האדום,אֵיפֹה הַדֻּבִּי הָאָדֹם,2:07-3:00,,1,A,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,הצבע על דובי כחול ואמור: זה הדובי כחול. איפה אדום? 
16,הבנה,איפה הדובי בתוך הקופסא,אֵיפֹה הַדֻּבִּי בְּתוֹךְ הַקֻּפְסָא,2:07-3:00,,3,1,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,ניתן להראות לו משהו בסביבה שנמצא בתוך משהו
17,הבנה,ילדה שמחזיקה בננה,יַלְדָּה שֶׁמַּחְזִיקָה בָּנָנָה,2:07-3:00,,3,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,הקראה נוספת עם דגש על הפרי ואחכ על המין
