query_number,query_type,query,age_group,comments,image_count,answer,hint,query_nikud
1,הבנה,איפה האף של הילד?,2:00-2:06,,1,A,הורים : הצביעו על האף שלכם ואז שאלו את הילד,אֵיפֹה הָאַף שֶׁל הַיֶּלֶד?
2,הבנה,איפה הכדור,2:00-2:06,,3,1,"עם מה אפשר לשחק מסירות, או לבעוט לשער",אֵיפֹה הַכַּדּוּר
3,הבנה,תראה לי ילד שישן,2:00-2:06,,2,2,,תַּרְאֶה לִי יֶלֶד שֶׁיָּשֵׁן
4,הבנה,איפה הדובי הגדול,2:00-2:06,,2,1,,אֵיפֹה הַדֻּבִּי הַגָּדוֹל
5,הבנה,איפה הדובי על הקופסא,2:00-2:06,,3,2,,אֵיפֹה הַדֻּבִּי עַל הַקֻּפְסָא
6,הבנה,איפה כל החיות,2:00-2:06,,5|10,"1,2,3,4,10",,אֵיפֹה כֹּל הַחַיּוֹת
7,הבנה,איפה האוזן של הילד?,2:07-3:00,,1,A,,אֵיפֹה הָאֹזֶן שֶׁל הַיֶּלֶד?
8,הבנה,איפה הדובי האדום,2:07-3:00,,1,A,,אֵיפֹה הַדֻּבִּי הָאָדֹם
9,הבנה,איפה הדובי בתוך הקופסא,2:07-3:00,,3,1,,אֵיפֹה הַדֻּבִּי בְּתוֹךְ הַקֻּפְסָא
10,הבנה,ילדה שמחזיקה בננה,2:07-3:00,,3,2,,יַלְדָּה שֶׁמַּחְזִיקָה בָּנָנָה
11,הבנה,איפה ילד יושב,2:07-3:00,,2,2,,אֵיפֹה יֶלֶד יוֹשֵׁב
12,הבנה,מי שונה? מי לא מתאים לקבוצה?,2:07-3:00,,3,1,,מִי שׁוֹנֶה? מִי לֹא מַתְאִים לַקְּבוּצָה?
13,הבנה,איפה הצעצועים\משחקים?,2:07-3:00,,5|10,"3,4,6,7,8",,אֵיפֹה הַצַּעֲצוּעִים\מִשְׂחָקִים?
14,הבנה,איפה הילד שקופץ,3:00-4:00,,2,1,,אֵיפֹה הַיֶּלֶד שֶׁקּוֹפֵץ
15,הבנה,איפה הילדה שקר לה,3:00-4:00,,2,1,,אֵיפֹה הַיַּלְדָּה שֶׁקַּר לָהּ
16,הבנה,איפה הדובי ליד הקופסא,3:00-4:00,,3,2,,אֵיפֹה הַדֻּבִּי לְיַד הַקֻּפְסָא
17,הבנה,הצבע על הכדור הצהוב הגדול,3:00-4:00,,3,2,,הַצֶּבַע עַל הַכַּדּוּר הַצָּהֹב הַגָּדוֹל
18,הבנה,מה חרוז של חלון?,3:00-4:00,,3,2,,מָה חָרוּז שֶׁל חַלּוֹן?
19,הבעה,מה משותף לחתול פרה וצב? כולם?,3:00-4:00,,3,,,מָה מְשֻׁתָּף לֶחָתוּל פָּרָה וְצָב? כֻּלָּם?
20,הבנה,ילדה אוכלת אגס גדול וירוק,4:00-5:00,,3,1,,יַלְדָּה אוֹכֶלֶת אַגָּס גָּדוֹל וְיָרֹק
21,הבנה,איפה ילדה שקיבלה גלידה מאמא,4:00-5:00,,2,1,,אֵיפֹה יַלְדָּה שֶׁקִּבְּלָה גְּלִידָה מֵאִמָּא
22,הבנה,עם מה מצחצחים,4:00-5:00,,3,1,,עִם מָה מְצַחְצְחִים
23,הבנה,איפה כדור כחול קטן מתחת לשולחן,4:00-5:00,,4,2,,אֵיפֹה כַּדּוּר כָּחֹל קָטָן מִתַּחַת לַשֻּׁלְחָן
24,הבנה,ילדה עם שמלה אדומה ומטרייה סגורה,4:00-5:00,,3,1,,יַלְדָּה עִם שִׂמְלָה אֲדֻמָּה וּמִטְרִיָּה סְגוּרָה
25,הבנה,הצבע על הכלב לפני שאתה מצביע על החתול,4:00-5:00,,2,2->1,,הַצְבֵּעַ עַל הַכֶּלֶב לִפְנֵי שֶׁאַתָּה מַצְבִּיעַ עַל הֶחָתוּל
26,הבנה,מה שונה,4:00-5:00,,3,1,,מָה שׁוֹנֶה
27,הבנה,הצבע מה יקרה אחר כך,5:00-6:00,,1|3,x1|2,,הַצְבֵּעַ מָה יִקְרֶה אַחַר כָּךְ
28,הבנה,מי קיבל גלידה ראשון,5:00-6:00,,2,2,,מִי קִבֵּל גְּלִידָה רִאשׁוֹן
29,הבנה,מי כועס כי לקחו לו צעצוע,5:00-6:00,,3,3,,מִי כּוֹעֵס כִּי לָקְחוּ לוֹ צַעֲצוּעַ
30,הבעה,מה משותף למטוס וציפור?,5:00-6:00,,2,,,מָה מְשֻׁתָּף לַמָּטוֹס וְצִפּוֹר?
31,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,5:00-6:00,,4,4,,הַצֶּבַע עַל חַיָּה גְּדוֹלָה מֵחָתוּל וּקְטַנָּה מִסּוּס
32,הבנה,אנלוגיה-נעל:רגל זה כמו כפפה ו?,5:00-6:00,,3,3,,אָנָלוֹגְיָה-נַעַל:רֶגֶל זֶה כְּמוֹ כְּפָפָה ו?
33,הבנה,מי נרטב כי שכח מטרייה,5:00-6:00,,2,1,,מִי נִרְטַב כִּי שָׁכַח מִטְרִיָּה
34,הבעה,מה זה?,2:00-2:06,,2,,,מָה זֶה?
35,הבעה,מה הילד עושה,2:00-2:06,,1,,,מָה הַיֶּלֶד עוֹשֶׂה
36,הבעה,מה הילד עושה,2:00-2:06,,1,,,מָה הַיֶּלֶד עוֹשֶׂה
37,הבעה,זה כדור קטן וזה?,2:00-2:06,,1,,,זֶה כַּדּוּר קָטָן וְזֶה?
38,הבעה,מה הילד רוצה?,2:00-2:06,,1,,,מָה הַיֶּלֶד רוֹצֶה?
39,הבעה,זה החתול שלות וזה החתול ___ ?,2:00-2:06,,2,,,זֶה הַחֲתוּל שֶׁלּוֹ וְזֶה הַחֲתוּל:?
40,הבעה,תגיד לי שתי חיות שאתה מכיר,2:00-2:06,,1,,,תַּגִּיד לִי שְׁתֵּי חַיּוֹת שֶׁאַתָּה מַכִּיר
41,הבעה,מה זה,2:07-3:00,,1,,,מָה זֶה
42,הבעה,"הילד אוכל בננה, והילדה? ",2:07-3:00,,2,,,"הַיֶּלֶד אוֹכֵל בָּנָנָה, וְהַיַּלְדָּה? "
43,הבעה,איזה צבע זה,2:07-3:00,,3,,,אֵיזֶה צֶבַע זֶה
44,הבעה,מה זה?,2:07-3:00,,1,,,מָה זֶה?
45,הבעה,הילד מחזיק דובי גדול והילד הזה מחזיק? ,2:07-3:00,,2,,,הַיֶּלֶד מַחְזִיק דֻּבִּי גָּדוֹל וְהַיֶּלֶד הַזֶּה מַחְזִיק? 
46,הבעה,מה הילד אומר לאמא?,2:07-3:00,,1,,,מָה הַיֶּלֶד אוֹמֵר לְאִמָּא?
47,הבעה,חזור אחריי: אמא באה הביתה,2:07-3:00,,1,,,חֲזֹר אַחֲרַי: אִמָּא בָּאָה הַבַּיְתָה
48,הבעה,מה הילדה מרגישה?,3:00-4:00,,1,,,מָה הַיַּלְדָּה מַרְגִּישָׁה?
49,הבעה,למה הילדה בוכה,3:00-4:00,,1,,,לָמָּה הַיַּלְדָּה בּוֹכָה?
50,הבעה,"מה קרה בהתחלה, באמצע ובסוף?",3:00-4:00,,1,,,"מָה קָרָה בַּהַתְחָלָה, בָּאֶמְצַע וּבַסּוֹף?"
51,הבעה,ספר מה אתה רואה בתמונה,3:00-4:00,,1,,,סַפֵּר מָה אַתָּה רוֹאֶה בַּתְּמוּנָה
52,הבעה,לילדה קר. מה תעשה אם יהיה לך קר?,3:00-4:00,,1,,,לְיַלְדָּה קַר. מָה תַּעֲשֶׂה אִם יִהְיֶה לְךָ קַר?
53,הבעה,אתה יכול לספור לי את הארנבות?,3:00-4:00,,1,,,אַתָּה יָכוֹל לִסְפֹּר לִי אֶת הָאַרְנָבוֹת?
